ABC	Abcam Plc
RIEG	Legal & General Ucits ETF Public Limited
RIFS	Reliance Infrastructure
RIGD	Reliance Industries Limi
RIII	Rights & Issues Investment Trust Plc
RIO	Rio Tinto Plc
RIOL	Lyxor International Asse
RIUG	Legal & General Ucits ETF Public Limited
RIV	River and Mercantile Gro
RKH	Rockhopper Exploration Plc
RKMD	Ojsc Rostelecom
RLD	Richland Resources Ltd
RLE	Real Estate Investors Plc
RM	RM Plc
RMDL	Rm Secured Direct Lending Plc
RMDSEW	Russell Midcap Dividend Select Equal Wei
RMDZ	Rm Zdp Plc
RMG	Royal Mail Plc
RMM	Rambler Metals & Mining Plc
RMMC	River and Mercantile UK
RMP	Red Emperor Resources NL
RMS	Remote Monitored Systems Plc
RMV	Rightmove Plc
RNK	Rank Group Plc
RNO	Renold Plc
RNWH	Renew Holdings Plc
ROAI	Lyxor Index Fund
ROBE	Go Ucits ETF Solutions P
ROCK	Rockfire Resources Plc
ROL	Rotala Plc
ROR	Rotork Plc
ROSE	Rose Petroleum Plc
ROSN	Ojsc Oc Rosneft
RPS	Rps Group Plc
RQFI	DB X-Trackers
RQIH	Randall & Quilter Investment Holdings Pl
RR	Rolls Royce Group
RRE	Rockrose Energy Plc
RRR	Red Rock Resources Plc
RSA	Rsa Insurance Group Plc
RSE	Riverstone Energy Limite
RSG	Resolute Mining Limited
RSGL	Lyxor International Asse
RST	Restore Plc
RSVL	Lyxor International Asse
RSW	Renishaw Plc
RTC	Rtc Group Plc
RTN	Restaurant Group Plc
RTO	Rentokil Initial Plc
RTW	Rtw Venture Fund Limited
RTWO	Etfx Fund Company Plc
RTYS	Source Markets Public Limited Company
RUR	Rurelec Plc
RUSB	Iti Funds Ucits ETF Sicav
RUSG	Lyxor International Asse
RWA	Robert Walters Plc
RWI	Renewi Plc
RWS	Rws Holdings Plc
RYA	Ryanair Holdings Plc
S100	Source Markets Public Li
S32	South32 Limited
S400	Source Markets Public Li
S5SD	UBS (Irl) ETF Plc
S600	Source Markets Public Li
S6EW	Ossiam Lux
S7XP	Source Markets Public Li
SAA	M&C Saatchi Plc
SAE	Simec Atlantis Energy Limited
SAFE	Safestore Holdings Plc
SAG	Sagentia Group Plc
SAGA	Saga Plc
SAIN	Scottish American Investment Co. Plc
SAL	Spaceandpeople Plc
SAN	Santander UK Plc
SAR	Sareum Holdings Plc
SAV	Savannah Resources Plc
SAVE	
SBER	Sberbank of Russia
SBID	State Bank of India
SBIO	Source Markets Public Li
SBIZ	The Simplybiz Group Plc
SBRE	Sabre Insurance Group Plc
SBRY	Sainsbury [J] Plc
SBTX	Skinbiotherapeutics Plc
SBUY	Powershares Glbal Funds
SCE	Surface Transforms Plc
SCF	Schroder Income Growth Fund Plc
SCGL	Sealand Capital Galaxy Limited
SCHO	Scholium Group Plc
SCIN	Scottish Investment Trust Plc
SCLP	Scancell Holdings Plc
SCP	Schroder UK Mid Cap Fund Plc
SCPA	Scapa Group Plc
SCRF	Sme Credit Realisation Fund Limited
SCS	Scs Group Plc
SCT	Softcat Plc
SDI	Sdi Group Plc
SDL	Sdl Plc
SDP	Schroder Asiapacific Fund Plc
SDR	Schroders Plc
SDRY	Superdry Plc
SDV	Small Companies Dividend Trust Plc
SDVP	Sdv 2025 Zdp Plc
SDX	Sdx Energy Inc
SDY	Speedy Hire Plc
SEC	Strategic Equity Capital Plc
SECG	Sec S.P.A.
SEE	Seeing Machines Limited
SEFA	Shefa GEMS Ltd.
SEIT	Sdcl Energy Efficiency Income Trust Plc
SENS	Sensyne Health Plc
SENX	Serinus Energy Plc
SEPL	Seplat Petroleum Develop
SEQI	Sequoia Economic Infrast
SERE	Schroder European Real Estate Investment
SEY	Sterling Energy Plc
SFE	Safestyle UK Plc
SFOR	S4 Capital Plc
SFR	Severfield-Rowen Plc
SG93	Sg Issuer
SGC	Stagecoach Group Plc
SGE	Sage Group Plc
SGEM	Scotgems Plc
SGGD	Ojsc Surgutneftegas
SGI	Stanley Gibbons Group Plc
SGLD	Source Physical Markets Plc
SGM	Sigma Capital Group Plc
SGRO	Segro Plc
SGVB	Lyxor Index Fund
SGZ	Scotgold Resources Limited
SHB	Shaftesbury Plc
SHED	Urban Logistics REIT Plc
SHG	Shanta Gold Limited
SHI	Sig Plc
SHIP	Tufton Oceanic Assets Limited
SHOE	Shoe Zone Plc
SHRE	Share Plc
SHRS	Shires Income Plc
SIG	Signature Aviation Plc
SIGT	Seneca Global Income & G
SIHL	Symphony International Holdings Ld
SIM	Simigon Ltd
SIR	Secure Income REIT Plc
SIS	Science IN Sport Plc
SIXH	600 Group Plc
SJG	Schroder Japan Growth Fund Plc
SJH	ST James House Plc
SKG	Smurfit Kappa Group Plc
SKIN	Integumen Plc
SKMD	Sk Telecom CO Ld
SKYU	First Trust Global Funds Public Limited
SLA	Standard Life Plc
SLE	San Leon Energy Plc
SLI	Standard Life Investments Property Incom
SLN	Silence Therapeutics Plc
SLNG	Slingsby [H.C.] Plc
SLP	Sylvania Platinum Limited
SLPE	Standard Life Private Equity Trust Plc
SLS	Standard Life UK Smaller Companies Trust
SLVP	Invesco Physical Markets Public Limited
SMDS	Smith [Ds] Plc
SMEU	Source Markets Public Limited Company
SMIF	Twentyfour Select Monthl
SMIN	Smiths Group Plc
SMJ	Smart [J.] & Co. [Contractors] Plc
SML	Strategic Minerals Plc
SMN1	Shariah Multinationals 1
SMP	St.Modwen Properties Plc
SMRT	Smartspace Software Plc
SMS	Smart Metering Systems Plc
SMSD	Samsung Electronics CO L
SMT	Scottish Mortgage Investment Trust Plc
SMTC	Lyxor Index Fund
SMWH	Wh Smith Plc
SN	Smith & Nephew
SNG	Synairgen Plc
SNGR	Societatea Nationala DE
SNN	Sanne Group Plc
SNP	China Petroleum & Chemic
SNR	Senior Plc
SNX	Synectics Plc
SO4	Salt Lake Potash Limited
SOHO	Triple Point Social Housing REIT Plc
SOI	Schroder Oriental Income Fund Limited
SOLG	Solgold Plc
SOLI	Solid State Plc
SOLO	Solo Oil Plc
SOM	Somero Enterprise Inc
SONG	Hipgnosis Songs Fund Limited
SOS	Sosandar Plc
SOU	Sound Oil Plc
SPA	1Spatial Plc
SPAL	Source Physical Markets Plc
SPAP	Source Physical Markets
SPDI	Spdi Secure Property Dev
SPE	Sopheon Plc
SPEC	
SPI	Spire Healthcare Group P
SPO	Sportech Plc
SPPC	ST Peter Port Capital Limited
SPPP	Source Physical Markets
SPPT	Source Physical Markets Plc
SPR	Springfield Properties Plc
SPSC	Spectra Systems Corporation
SPT	Spirent Communications Plc
SPX	Spirax-Sarco Engineering Plc
SPXD	Invesco Markets Plc
SPXP	Source Markets Public Li
SPXS	Source Markets Public Limited Company
SQN	Sqn Asset Finance Income
SQNX	Sqn Asset Finance Income Fund Limited
SQZ	Serica Energy Plc
SRB	Serabi Gold Plc
SRC	Sigmaroc Plc
SRE	Sirius Real Estate Ld
SREI	Schroder Real Estate Investment Trust Li
SRES	Sunrise Resources Plc
SRP	Serco Group Plc
SRT	Software Radio Technology Plc
SSA	Sistema Jsfc
SSE	Sse Plc
SSHY	Pimco Fixed Income Sourc
SSIF	Sqn Secured Income Fund Plc
SSLV	Source Physical Markets Plc
SSON	Smithson Investment Trust Plc
SSPG	Ssp Group Plc
SST	Scottish Oriental Smaller Companies Trus
SSTY	Safestay Plc
STA	Star Phoenix Group Ltd
STAB	Standard Chartered Plc
STAF	Staffline Group Plc
STAN	Standard Chartered Plc
STAR	Starcom Plc
STB	Secure Trust Bank Plc
STCK	Stock Spirits Group Plc
STCM	Steppe Cement Ltd
STEM	Sthree Plc
STHE	Pimco Fixed Income Sourc
STJ	St. James's Place Plc
STLG	Russell US Large Cap Factors Growth Styl
STLV	Russell US Large Cap Factors Value Style
STM	Stm Group PC
STOB	Stobart Group Ld
STP	Stenprop Limited
STS	Securities Trust of Scotland Plc
STU	Studio Retail Group Plc
STUB	Lyxor Index Fund
STVG	Stv Group Plc
STX	Shield Therapeutics Plc
STYC	Pimco Fixed Income Sourc
SUH	Sutton Harbour Group Plc
SUK1	Boost Issuer Public Limi
SUK2	Go Ucits ETF Solutions P
SUMO	Sumo Group Plc
SUN	Surgical Innovations Group Plc
SUPR	Supermarket Income REIT Plc
SUR	Sureserve Group Plc
SURE	Sure Ventures Plc
SUS	S & U Plc
SVE	Starvest Plc
SVM	Svm UK Emerging Fund Plc
SVS	Savills Plc
SVST	Oao Severstal
SVT	Severn Trent Plc
SWEF	Starwood European Real E
SWG	Shearwater Group Plc
SWIM	Lyxor Index Fund
SX5S	Source Markets Public Li
SXS	Spectris Plc
SYM	Symphony Environmental Technologies Plc
SYNC	Syncona Limited
SYND	Auction Gilt
SYNT	Synthomer Plc
SYS	Sysgroup Plc
SYS1	System1 Group Plc
TALK	Talktalk Telecom Group Plc
TAM	Tatton Asset Management Plc
TAN	Tanfield Group Plc
TAST	Tasty Plc
TATE	Tate & Lyle Plc
TAVI	Tavistock Investments Pl
TBCG	Tbc Bank Group Plc
TCAP	Tp Icap Plc
TCM	Telit Communications Plc
TCN	Tricorn Group Plc
TCS	Tcs Group Holding Plc
TDIV	Thinkcapital Etf's N.V.
TE10	Test Stocks
TED	Ted Baker Plc
TEG	Ten Entertainment Group Plc
TEK	Tekcapital Plc
TEM	Templeton Emerging Markets Investment TR
TENG	Ten Lifestyle Group Plc
TEP	Telecom Plus Plc
TERN	Tern Plc
TET	Treatt Plc
TFG	Tetragon Financial Group Limited
TFIF	Twentyfour Income Fund L
TFW	Thorpe [F.W.] Plc
TGBG	Thinkcapital Etf's N.V.
TGL	Transglobe Energy Corporation
TGP	Tekmar Group Plc
THAL	Thalassa Holdings Limited
THR	Thor Mining Plc
THRG	Throgmorton Trust Plc
THRL	Target Healthcare REIT L
THRU	Thruvision Group Plc
THS	Tharisa Plc
TI1	Trian Investors 1 Limited
TIDE	Crimson Tide Plc
TIFS	Ti Fluid Systems Plc
TIGT	Troy Income & Growth Trust Plc
TILS	Tiziana Life Sciences Pl
TIR	Tiger Resource Finance Plc
TKO	Taseko Mines Limited
TLOU	Tlou Energy Limited
TLW	Tullow Oil Plc
TLY	Totally Plc
TM17	Team17 Group PLC
TMG	The Mission Group Plc
TMKS	Oao Tmk
TMO	Time Out Group Plc
TMPL	Temple Bar Investment Trust Plc
TMT	Tmt Investments Plc
TNAE	Thinkcapital Etf's N.V.
TND	Tandem Group Plc
TOM	Tomco Energy Plc
TON	Titon Holdings Plc
TOOP	Toople Plc
TORO	Toro Limited
TOT	Total Produce Plc
TOWN	Town Centre Securities Plc
TPFG	Property Franchise Group Plc [The]
TPG	Tp Group Plc
TPK	Travis Perkins Plc
TPOS	Third Point Offshore Investors Limited
TPT	Topps Tiles Plc
TPX	The Panoply Holdings Plc
TR3G	Invesco Markets II Plc
TRAF	Trafalgar New Homes Plc
TRAK	Trakm8 Holdings Plc
TRB	Tribal Group Plc
TRCS	Tracsis Plc
TRD	Triad Group Plc
TRE3	Invesco Markets II Plc
TREE	Cambium Global Timberland Limited
TRI	Trifast Plc
TRIG	The Renewables Infrastru
TRIN	Trinity Exploration & Pr
TRMR	Tremor International Ltd.
TRN	Trainline Plc
TRP	Tower Resources Plc
TRR	Trident Resources Plc
TRSG	Invesco Markets II Plc
TRT	Transense Technologies Plc
TRU	Trufin Plc
TRX	Tissue Regenix Group Plc
TRXG	Invesco Markets II Plc
TRY	TR Property Investment Trust Plc
TSC5	Tesco Personal Finance P
TSCO	Tesco Plc
TSG	Trans-Siberian Gold Plc
TSGB	Thinkcapital Etf's N.V.
TSI	Two Shields Investments Plc
TSL	Thinksmart Limited
TST	Touchstar Plc
TSTL	Tristel Plc
TSTR	Tri-Star Resources Plc
TSWE	Thinkcapital Etf's N.V.
TTA	Total S.A.
TTG	Tt Electronics Plc
TTST	Tata Steel Limited
TUI	Tui Ag
TUNE	Focusrite Plc
TUNG	Tungsten Corporation Plc
TURL	Lyxor International Asse
TW	Taylor Wimpey
TWD	Trackwise Designs Plc
TWND	Lyxor International Asse
TXP	Touchstone Exploration Inc
TYM	Tertiary Minerals Plc
TYMN	Tyman Plc
TYT	Toyota Motor Corporation
UAI	U and I Group Plc
UANC	Urban&Civic Plc
UAV	Unicorn Aim Vct Plc
UB0A	UBS [Irl] ETF Plc
UC03	UBS (Irl) ETF Plc
UCAP	Ossiam Lux
UCG	United Carpets Group Plc
UDG	United Drug Plc
UEM	Utilico Emerging Markets Limited
UESD	UNIFIED ENERGY SYSTEMS OF RUSSIA GDR-EACH REPR 100 ORD RUB0.50 REG'S'
UEX	Urban Exposure Plc
UFLT	Source Markets II Plc
UFO	Alien Metals Limited
UGNA	Epra/Nareit North America Index [Usd]
UHYG	Lyxor Index Fund
UINC	First Trust Global Funds Public Limited
UJO	Union Jack Oil Plc
UKCM	UK Commercial Property Trust Ld
UKML	UK Mortgages Limited
UKMV	Ossiam Lux
UKOG	UK Oil & Gas Investments
UKR	Ukrproduct Group Limited
UKSR	UBS [Irl] ETF Plc
UKW	Greencoat UK Wind Plc
UL3S	Boost Issuer Public Limited Company
ULE	Ultra Electronics Holdings Plc
ULS	Uls Technology Plc
ULVR	Unilever Plc
UNG	Universe Group Plc
UNGL	Epra/Nareit Global Index [Usd]
UNUS	Epra United States Index
UOG	United Oil & Gas Plc
UPGS	Up Global Sourcing Holdings Plc
UPL	Upland Resources Limited
UPR	Uniphar Plc
UPRA	Epra Europe Index [Usd]
UPVL	UBS [Irl] ETF Plc
URU	Uru Metals Limited
USA	Baillie Gifford US Growth Trust Plc
USAL	Lyxor International Asse
USEF	Fundlogic Alternatives P
USF	US Solar Fund Plc
USFM	UBS [Irl] ETF Plc
USFP	US Solar Fund Plc
USHF	Fundlogic Alternatives Plc
USHY	Lyxor Index Fund
USML	Invesco Markets Plc
USMV	Ossiam Lux
USPG	UBS [Irl] ETF Plc
USPY	Go Ucits ETF Solutions Plc
USY	Unisys Corporation
UTG	Unite Group Plc
UTL	Utilico Investments Limited
UTLE	Utilico Finance Limited
UTLF	Uil Finance Limited
UU	United Utilities
UVEL	Univision Engineering Limited
VAL	Valirx Plc
VANL	Van Elle Holdings Plc
VAST	Vast Resources Plc
VCBC	Vertu Capital Limited
VCP	Victoria Plc
VCT	Victrex Plc
VDTK	Verditek Plc
VEC	Vectura Group Plc
VEIL	Vietnam Enterprise Investments Limited
VEL	Velocity Composites Plc
VELA	Vela Technologies Plc
VEN	Ventus Vct Plc
VEN2	Ventus 2 Vct Plc
VENC	Ventus Vct Plc
VGAS	Volga Gas Plc
VILX	Boost Issuer Public Limited Company
VIN	Value and Income Trust Plc
VIS2	Leverage Shares Public Limited Company
VIXL	Boost Issuer Public Limited Company
VLE	Volvere Plc
VLG	Venture Life Group Plc
VLS	Velocys Plc
VLU	Valeura Energy Inc
VLX	Volex Plc
VMUK	Virgin Money UK Plc
VNC	Ventus 2 Vct Plc
VNET	Vianet Group Plc
VNH	Vietnam Holding Limited
VO25	Vodafone Group Plc
VOF	Vinacapital Vietnam Opportunity Fund Ld
VOG	Victoria Oil & Gas Plc
VOLT	Source Markets Public Limited Company
VP	VP Plc
VRE	Vr Education Holdings Plc
VRP	Verona Pharma Plc
VRPS	Invesco Markets II Plc
VRS	Versarien Plc
VSL	Vpc Specialty Lending IN
VSVS	Vesuvius Plc
VTA	Volta Finance Limited
VTBR	Jsc Vtb Bank
VTC	Vitec Group Plc [The]
VTU	Vertu Motors Plc
VTY	
VVO	Vivo Energy Plc
W7L	Warpaint London Plc
WALG	Walcom Group Limited
WAND	Wandisco Plc
WAS1	Wasps Finance Plc
WATL	Lyxor International Asse
WATR	Water Intelligence Plc
WBI	Woodbois Limited
WCH	Wilmcote Holdings Plc
WCW	Walker Crips Group Plc
WDMV	Ossiam Lux
WEB	Webis Holdings Plc
WEIR	Weir Group Plc
WEN	Wentworth Resources Plc
WEY	Wey Education Plc
WG	Wood Group (John)
WGB	Walker Greenbank Plc
WHI	W.H. Ireland Group Plc
WHR	Warehouse REIT Plc
WIL	Wilmington Group Plc
WIN	Wincanton Plc
WINE	Naked Wines Plc
WINK	M Winkworth Plc
WIZZ	Wizz Air Holdings Plc
WJA	Wameja Limited
WJG	Watkin Jones Plc
WKOF	Weiss Korea Opportunity
WKP	Workspace Group Plc
WLDD	Lyxor International Asse
WMH	William Hill Plc
WOSG	Watches of Switzerland Group Plc
WPC	Witan Pacific Investment Trust Plc
WPHO	Windar Photonics Plc
WPP	Wpp Plc
WRES	W Resources Plc
WRKS	Theworks.Co.Uk Plc
WSBN	Wishbone Gold Plc
WSG	Westminster Group Plc
WSL	Worldsec Ld
WSP	Wynnstay Properties Plc
WTAN	Witan Investment Trust Plc
WTB	Whitbread Plc
WTE	Westmount Energy Limited
WTG	Watchstone Group Plc
WTID	Boost Issuer Public Limi
WWH	Worldwide Healthcare Trust Plc
WYN	Wynnstay Group Plc
X7PP	Source Markets Public Li
XAGG	Go Ucits ETF Solutions Plc
XAR	Xaar Plc
YBSC	Yorkshire Building Society
YCA	Yellow Cake Plc
YEW	Yew Grove REIT Plc
YGEN	Yourgene Health Plc
YNGA	Young & Co's Brewery Plc [Aim]
YOU	Yougov Plc
YU	Yu Group PLC
ZAIM	Zaim Credit Systems Plc
ZAM	Zambeef Products Plc
ZEG	Zegona Communications Pl
ZEN	Zenith Energy Ltd
ZIN	Zinc Media Group Plc
ZIOC	Zanaga Iron Ore Company Limited
ZOE	Zoetic International Plc
ZOL	Zoltav Resources Inc
ZOO	Zoo Digital Group Plc
ZTF	Zotefoams Plc
ZYT	Zytronic Plc
